time,lat,lon,temp,zone,ambrosia-apple,apple-babe-genetic-dwarf-apple,baldwin-apple,ben-davis-apple,braeburn-apple,buckeye-gala-apple,candycrisp-apple,chenango-strawberry-apple,chestnut-crabapple,cortland-apple,coxs-orange-pippin-antique-apple,crimsoncrisp-apple,empire-apple,enterprise-apple,franklin-cider-apple,garden-delicious-genetic-dwarf-apple,ginger-gold-apple,goldrush-apple,golden-russet-apple,granny-smith-apple,gravenstein-apple,grimes-golden-apple,honeycrisp-apple,jonafree-apple,jonagold-apple,kinderkrisp-apple,liberty-apple,macoun-apple,mutsu-apple,myra-red-fuji-apple,northern-spy-apple,orleans-antique-apple,pink-lady-apple,pioneer-mac-apple,pristine-apple,red-fuji-apple,red-rome-beauty-apple,red-stayman-winesap-apple,royal-empire-apple,rubymac-apple,stark-scarlet-crush-apple,september-wonder-fuji-apple,sheeps-nose-apple,smokehouse-apple,snappymac-apple,snapp-stayman-apple,snowsweet-apple,starkrimson-gala-apple,starkrimson-red-delicious-apple,starkspur-arkansas-black-apple,starkspur-mcintosh-apple,starkspur-red-delicious-apple,starkspur-red-rome-beauty-apple,starkspur-winesap-apple,stark-crimson-spire-apple,stark-emerald-spire-apple,stark-golden-delicious-apple,stark-grandgala-apple,stark-harts-fancy-apple,stark-jon-a-red-jonathan-apple,stark-lodi-apple,stark-red-romance-apple,stark-royal-gala-apple,stark-ruby-darling-apple,stark-scarlet-spire-apple,stark-ultra-spire-apple,summer-rambo-apple,wealthy-apple,whitney-crabapple,wiltons-red-jonaprince-apple,winecrisp-apple,wolf-river-apple,yellow-transparent-apple,york-imperial-apple,zestar-apple,starkspur-winter-banana-antique-apple,geometry
2014-12-31,36.25,-78.0,13.962203280131023,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-78 36.25)
2014-12-31,36.25,-77.75,14.519008700052897,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-77.75 36.25)
2014-12-31,36.5,-81.25,1.2554129918416341,7.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-81.25 36.5)
2014-12-31,36.5,-81.0,3.7646092732747394,7.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-81 36.5)
2014-12-31,36.5,-80.75,5.4662120819091795,7.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-80.75 36.5)
2014-12-31,36.5,-80.5,6.669810358683268,7.5,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-80.5 36.5)
2014-12-31,36.5,-80.25,8.306010627746582,7.5,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-80.25 36.5)
2014-12-31,36.5,-80.0,9.59601027170817,7.5,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-80 36.5)
2014-12-31,36.5,-79.75,9.839013290405273,7.5,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-79.75 36.5)
2014-12-31,36.5,-79.5,10.628011067708334,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-79.5 36.5)
2014-12-31,36.5,-79.25,11.085807736714681,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-79.25 36.5)
2014-12-31,36.5,-79.0,11.381610043843587,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-79 36.5)
2014-12-31,36.5,-78.75,12.587011655171713,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-78.75 36.5)
2014-12-31,36.5,-78.5,13.065811475118002,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-78.5 36.5)
2014-12-31,36.5,-78.25,13.374814796447755,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-78.25 36.5)
2014-12-31,36.5,-78.0,13.401810963948568,8.0,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,POINT (-78 36.5)
