,Bloom Color,Soil Composition,Bloom Time,Soil Moisture,Chill Hours,Soil pH Level,Fruit Color,Taste,Fruit Size,Texture,Ripens/Harvest,Years to Bear,Shade/Sun,Zone Range,Pollination
starkrimson-red-delicious-apple,White,Loamy,Mid,Well Drained,800 - 1500,6.0 - 7.0,Red,Sweet,Medium - Large,Firm,Late September,2 - 5,Full Sun,4 - 8,
starkspur-arkansas-black-apple,White,Loamy,Mid - Late,Well Drained,800 - 1500,6.0 - 7.0,Red,Tart,Medium - Large,Very Firm,October,2 - 5,Full Sun,4 - 8,
starkspur-mcintosh-apple,White,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,Tart,Medium,Firm,August,2 - 5,Full Sun,4 - 8,
starkspur-red-delicious-apple,White,Loamy,Mid,Well Drained,700 - 800,6.0 - 7.0,Red,Sweet,Medium - Large,Firm,August,2 - 5,Full Sun,4 - 8,
starkspur-red-rome-beauty-apple,White,Loamy,Mid - Late,Well Drained,700 - 1000,6.0 - 7.0,Red,"Sweet, Tart",Large,Firm,Mid October,2 - 3,,4 - 8,Self-Pollinating
starkspur-winesap-apple,White,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,"Sweet, Tart",Medium,Firm,Mid October,2 - 5,Full Sun,5 - 8,
stark-crimson-spire-apple,White,Loamy,Mid,Well Drained,800 - 1500,6.0 - 7.0,Red,Tangy,Medium - Large,Crisp,September,2 - 5,Full Sun,4 - 8,
stark-emerald-spire-apple,White,Loamy,Mid,Well Drained,800 - 1200,6.0 - 7.0,Green,"Tangy, Tart",Medium - Large,Crisp,Early To Mid September,2 - 5,Full Sun,4 - 8,
stark-golden-delicious-apple,White,Loamy,Mid,Well Drained,800 - 1500,6.0 - 7.0,Yellow,"Mild, Sweet",Medium - Large,"Crisp, White",Late September,2 - 5,,4 - 9,Self-Pollinating
stark-grandgala-apple,White,Loamy,Mid,Well Drained,400 - 800,6.0 - 7.0,Red,Sweet,Large,"Firm, Fine",Late August,2 - 5,Full Sun,5 - 8,
stark-harts-fancy-apple,"Pink, White",Loamy,Mid,Well Drained,,6.0 - 7.0,Red,"Subacid, Sweet",Large,"Crisp, Juicy",September,2 - 5,Full Sun,5 - 7,
stark-jon-a-red-jonathan-apple,White,Loamy,Mid,Well Drained,800 - 1500,6.0 - 7.0,Red,Sweet,Medium,Crisp,Mid September,2 - 5,,5 - 8,Self-Pollinating
stark-lodi-apple,White,Loamy,Early,Well Drained,800 - 1500,6.0 - 7.0,Green,Tangy,Large,Crisp,July,2 - 5,Full Sun,4 - 8,
stark-red-romance-apple,"Pink, White",Loamy,Mid,Well Drained,,6.0 - 7.0,Red,Sweet,Medium - Large,"Crisp, Juicy",Early October,2 - 5,Full Sun,5 - 7,
stark-royal-gala-apple,White,Loamy,Mid,Well Drained,,6.0 - 7.0,Red,"Sweet, Tart",Medium,Fine Firm,Late August,2 - 5,Full Sun,5 - 8,
stark-ruby-darling-apple,"Pink, White",Loamy,Mid,Well Drained,,6.0 - 7.0,Red,"Subacid, Sweet",Medium - Large,"Crisp, Juicy",Early October,2 - 5,Full Sun,5 - 7,
stark-scarlet-spire-apple,White,Loamy,Mid,Well Drained,800 - 1200,6.0 - 7.0,Red,Spicy,Medium - Large,Crisp,Late September,2 - 5,Full Sun,4 - 8,
